id,text,label,label_name,method,source_id
6,"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",2,positive,original,6
26,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",2,positive,original,26
27,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",2,positive,original,27
99,"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",2,positive,original,99
117,Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .,2,positive,original,117
255,The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 .,2,positive,original,255
284,"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .",1,neutral,original,284
349,"Result before taxes decreased to nearly EUR 14.5 mn , compared to nearly EUR 20mn in the previous accounting period .",0,negative,original,349
390,"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier .",2,positive,original,390
447,The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant .,2,positive,original,447
526,"You need to be ready when the window opens up , Rosberg said .",1,neutral,original,526
630,"The subsidiary will be responsible for filter sales , local assembly of filters and after market services in China .",1,neutral,original,630
732,"The stock is trading above both its MAPs and the 50-day MAP of SEK72 .983 is higher than the 200-day MAP of SEK70 .283 , a bullish indicator .",2,positive,original,732
806,Net sales revenue per passenger is expected to increase .,2,positive,original,806
1003,Officials did not disclose the contract value .,1,neutral,original,1003
1343,Rapala VMC Corporation ( Rapala ) is a Finland-based company engaged in the manufacture and distribution of fishing equipment and accessories .,1,neutral,original,1343
1422,The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at www.sampo.com/ir .,1,neutral,original,1422
1678,"Motorola Inc. of the United States came second with shipments of 217.4 million units for a 21.3 percent market share , followed by South Korea 's Samsung Electronics Co. with shipments of 118.0 million units for an 11.6 percent share .",1,neutral,original,1678
1818,The solution will be installed in the USA to support the North American operations of the customer .,1,neutral,original,1818
1884,"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn .",0,negative,original,1884
1907,Scanfil issued a profit warning on 10 April 2006 .,0,negative,original,1907
1921,"Finnish energy company Fortum Oyj said on November 13 , 2007 it was granted an environmental permit to build a biofuel-fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm .",2,positive,original,1921
1959,Short-term licenses for the games cost as little as $ 3 while purchasing a game outright can cost as much as $ 10 or $ 15 .,1,neutral,original,1959
1979,"The redesigned crushing circuit has been in operation since the start of September and its overall production rate on a weekly basis is in excess of an average of 40,000 tonnes a day .",1,neutral,original,1979
2012,"20 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj HEL : LAT1V , or L&T , said Monday it expects its operating profit , excluding non-recurring items , for the whole 2010 to be slightly lower than in 2009 .",0,negative,original,2012
2039,Reported operating margin was a negative 5.9 % .,0,negative,original,2039
2047,"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % .",0,negative,original,2047
2117,"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",0,negative,original,2117
2136,Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres .,0,negative,original,2136
2151,Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % .,0,negative,original,2151
2153,"Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",0,negative,original,2153
2217,Talentum 's net sales in September were smaller than expected .,0,negative,original,2217
100000,"Sales of the Seppl clothing retail chain increased by 8 % to € 155.2 million , and operating profits rose to € 31.1 million , compared with € 17.1 million in 2004 .",2,positive,bt-es,6
100001,In January and September 2010 the net profit of Fiskars increased by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .,2,positive,bt-es,26
100002,"Net income from life insurance amounted to € 16.5 million , from € 14.0 million , and net non-life insurance income to € 22.6 million , from € 15.2 million in 2009 .",2,positive,bt-es,27
100003,"Operating profits and sales for the three-month period increased , respectively , from EUR 0.3 million and EUR 13.1 million , compared with the corresponding period in 2005 .",2,positive,bt-es,99
100004,The Finnish department store chain Stockmann Oyj Abp obtained a net profit of €39.8 million ( US$ 56.8 million ) during the first nine months of 2007 from €37.4 million ( US$ 53.4 million ) for the same period in 2006 .,2,positive,bt-es,117
100005,The economic occupation rate of Sponda ́s real estate portfolio increased from 88.8% in 2006 to 91.2% .,2,positive,bt-es,255
100006,"The company generates net sales of around 600 million euros $775.5 million annually and employs 6,000.",1,neutral,bt-es,284
100007,"The pre-tax result decreased to almost EUR 14.5 million , compared with almost EUR 20 million in the previous accounting year .",0,negative,bt-es,349
100008,"The operating profit was EUR 0.6 million , compared with a loss of EUR 19 million in the previous year .",2,positive,bt-es,390
100009,The company also said that a profitability program has been launched in Poland at the Oborniki steel panel and sandwich panel plant.,2,positive,bt-es,447
100010,"“You must be ready when the window opens,” Rosberg said.",1,neutral,bt-es,526
100011,"The subsidiary will be responsible for sales of filters, local assembly of filters and post-marketing services in China.",1,neutral,bt-es,630
100012,"Shares are quoted above their MAPs and the 50-day MAP of SEK72 .983 is higher than the 200-day MAP of SEK70 .283 , a bullish indicator .",2,positive,bt-es,732
100013,Net revenue per passenger is expected to increase .,2,positive,bt-es,806
100014,The staff did not disclose the value of the contract.,1,neutral,bt-es,1003
100015,Rapala VMC Corporation ( Rapala ) is a Finnish company dedicated to the manufacture and distribution of fishing equipment and accessories.,1,neutral,bt-es,1343
100016,The curricula vitae of the proposed members are available from 12 March 2008 on the Internet at www.samppo.com/ir .,1,neutral,bt-es,1422
100017,"Motorola Inc. from the United States came second with shipments of 217.4 million units for 21.3 percent market share, followed by South Korea Samsung Electronics Co. with shipments of 118.0 million units for 11.6 percent share.",1,neutral,bt-es,1678
100018,The solution will be installed in the US to support US customer operations.,1,neutral,bt-es,1818
100019,"The operating loss amounted to EUR 0.8 million , compared with a profit of EUR 0.5 million .",0,negative,bt-es,1884
100020,"Scanfil issued a profit warning on April 10, 2006.",0,negative,bt-es,1907
100021,The Finnish energy company Fortum Oyj said on 13 November 2007 that it was granted an environmental permit to build a combined heat and energy plant for CHP biofuel in the port of Vartan in eastern Stockholm.,2,positive,bt-es,1921
100022,Short-term licenses for games cost as little as $3 while buying a game directly can cost as much as $10 or $15.,1,neutral,bt-es,1959
100023,"The redesigned shredding circuit has been in operation since early September and its weekly global production rate is above an average of 40,000 tons per day.",1,neutral,bt-es,1979
100024,"October 20, 2010 - Finnish environmental management company Lassila & Tikanoja Oyj HEL : LAT1V, or L&T, said Monday that it expects its operating profit, excluding non-recurring items, for the whole of 2010 to be slightly lower than that of 2009.",0,negative,bt-es,2012
100025,"The reported operating margin was 5,9 % negative .",0,negative,bt-es,2039
100026,"The agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers, a decrease of 6%.",0,negative,bt-es,2047
100027,"Finnish GeoSentric 's net sales decreased to €939,000 in January and March 2009 .",0,negative,bt-es,2117
100028,"The total traffic of Finnair decreased by 8,7 % in terms of revenues of the kilometres of passengers.",0,negative,bt-es,2136
100029,"Market share decreased on the route between Helsinki , Finland , and Tallinn , Estonia , by 0.1 percentage points to 24,8 % .",0,negative,bt-es,2151
100030,"Net profit in the three months until March 31 fell to ( x20ac ) 103 million ( US$ 165 million ) of ( x20ac ) 131 million a year earlier , said the Finnish company .",0,negative,bt-es,2153
100031,Talentum’s net sales in September were lower than expected.,0,negative,bt-es,2217
100032,Sales of the clothing retail chain Sepp+ñl+ñ increased by 8 % to EUR 155.2 million and operating profit increased from EUR 17.1 million in 2004 to EUR 31.1 million .,2,positive,bt-de,6
100033,In January to September 2010 the net profit of Fiskars increased by 14 % compared to the previous year to EUR 65.4 million and net sales from EUR 487.7 million to EUR 525.3 million .,2,positive,bt-de,26
100034,Net income from life insurance increased from EUR 14.0 million to EUR 16.5 million and net income from non-life insurance to EUR 22.6 million from EUR 15.2 million in 2009 .,2,positive,bt-de,27
100035,Both the operating profit and turnover in the three-month period increased from the corresponding period 2005 to EUR 0.3 million and EUR 13.1 million respectively .,2,positive,bt-de,99
